,Unnamed: 0,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude.1,longitude.1,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
84,84,33.3,-117.2,AMT006,BEA161,60730188031019.0,195.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.3,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
85,85,33.3,-117.1,AMT006,BEA161,60730191013156.0,13.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.3,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
86,86,33.3,-117.0,AMT006,BEA161,60730191062032.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.3,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
87,87,33.3,-116.7,AMT006,BEA161,60730209031108.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.3,-116.7,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
88,88,33.3,-116.3,AMT006,BEA161,60730210002001.0,9.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.3,-116.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
89,89,33.3,-116.0,AMT006,BEA160,60250123011066.0,31.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.3,-116.0,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
90,90,33.3,-115.9,AMT006,BEA160,60250123023001.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.3,-115.9,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
91,91,33.3,-115.8,AMT006,BEA160,60250123023001.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.3,-115.8,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
92,92,33.4,-118.5,AMT006,BEA160,60375991002045.0,0.0,BTA262,CMA002,6037.0,Los Angeles,EAG006,IVM002,33.4,-118.5,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
93,93,33.4,-118.3,AMT006,BEA160,60375991002001.0,0.0,BTA262,CMA002,6037.0,Los Angeles,EAG006,IVM002,33.4,-118.3,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
94,94,33.4,-117.7,AMT006,BEA160,60599901000034.0,0.0,BTA262,CMA002,6059.0,Orange,EAG006,IVM002,33.4,-117.7,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
95,95,33.4,-117.6,AMT006,BEA160,60590421034002.0,677.0,BTA262,CMA002,6059.0,Orange,EAG006,IVM002,33.4,-117.6,MEA044,MTA002,PEA002,REA006,RPC005,CA,6.0,California,VPC006
96,96,33.4,-117.4,AMT006,BEA161,60730187001108.0,16.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.4,-117.4,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
